id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1589614,Home in Bangkok · 3 bedrooms · 3 beds · 3.5 baths,6364900,Somkid,,Pra Wet,13.72352,100.6536,Entire home/apt,10000,1,0,,,1,0,0,
688013,Rental unit in Bangkok · ★4.69 · 1 bedroom · 1 bed · 1 bath,1780407,Feb,,Bang Na,13.67926,100.61655,Entire home/apt,924,29,147,2023-04-22,1.08,6,308,1,
1621954,Hostel in Bangkok · ★4.68 · 1 bedroom · 1 bed · 3 shared baths,8626494,Paula,,Phra Nakhon,13.76052,100.50066,Private room,850,1,239,2023-11-30,1.94,7,358,3,
973830,Home in Bangkok · ★4.79 · 1 bedroom · 1 bed · 1.5 baths,5325919,วสวัตติ์,,Bangkok Yai,13.73292,100.46413,Private room,1732,1,81,2023-11-20,0.62,3,344,7,
691478,Rental unit in Bangkok · ★5.0 · 1 bedroom · 1 bed · 1 bath,3533863,Sarasinee,,Phaya Thai,13.78887,100.56009,Entire home/apt,571,30,4,2012-12-15,0.03,4,0,0,
976690,Rental unit in Bangkok · ★4.70 · 1 bedroom · 1 bed · 1 bath,5344120,Nattavut,,Phaya Thai,13.77931,100.54262,Entire home/apt,1400,15,90,2022-11-15,0.69,4,333,0,
1629978,Rental unit in Bangkok · ★4.75 · 1 bedroom · 2 beds · 1 bath,8663142,ISanook,,Bang Rak,13.73244,100.52204,Private room,1800,30,21,2020-04-11,0.17,53,326,0,
691526,Rental unit in Bangkok · 1 bedroom · 1 bed · 1.5 baths,3533863,Sarasinee,,Phaya Thai,13.79032,100.56145,Entire home/apt,1360,1,0,,,4,0,0,
691540,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,3533863,Sarasinee,,Din Daeng,13.78829,100.56171,Entire home/apt,1000,3,0,,,4,0,0,
715652,Rental unit in Bangkok · ★4.33 · Studio · 1 bed · 1 bath,3687435,Avinash,,Din Daeng,13.78777,100.56551,Entire home/apt,866,1,6,2015-10-18,0.04,1,0,0,
1630348,Guest suite in Bangkok · ★4.44 · 1 bedroom · 8 beds · 2 shared baths,8664261,Kriengkrai,,Sathon,13.71711,100.51524,Shared room,490,2,27,2019-08-01,0.22,7,0,0,
978969,Rental unit in Bangkok · ★4.83 · 1 bedroom · 1 bed · 1 bath,5358785,Danny,,Vadhana,13.73224,100.57803,Entire home/apt,1626,4,6,2023-01-01,0.05,1,293,1,
988373,Home in Bangkok · ★4.88 · 1 bedroom · 1 bed · 1 bath,5325919,วสวัตติ์,,Phasi Charoen,13.73122,100.46228,Entire home/apt,1795,1,109,2023-12-12,0.83,3,329,16,
722291,Condo in Bangkok · ★4.82 · 1 bedroom · 1 bed · 1 bath,1810415,Egidio,,Sathon,13.72109,100.53915,Entire home/apt,1004,300,35,2022-06-17,0.28,3,24,0,
1630813,Rental unit in Bangkok · ★4.82 · 1 bedroom · 1 bed · 1 bath,8663142,ISanook,,Bang Rak,13.73232,100.52336,Private room,2850,30,11,2023-09-27,0.09,53,230,3,
1630920,Rental unit in Bangkok · ★4.55 · 1 bedroom · 2 beds · 1 bath,8663142,ISanook,,Bang Rak,13.73241,100.52168,Private room,2050,30,23,2018-01-11,0.19,53,353,0,
1631106,Rental unit in Bangkok · ★4.48 · 2 bedrooms · 3 beds · 2 baths,8663142,ISanook,,Bang Rak,13.73195,100.52318,Private room,4000,30,34,2023-01-24,0.28,53,344,1,
722660,Condo in Bangkok · 1 bedroom · 1 bed · 1 bath,3734436,Chok,,Sathon,13.70644,100.52544,Entire home/apt,1212,21,0,,,2,365,0,
